"job_role","industry","country","year","automation_risk_percent","ai_replacement_score","skill_gap_index","salary_before_usd","salary_change_percent","skill_demand_growth_percent","remote_feasibility_score","ai_adoption_level","education_requirement_level","reskilling_urgency_score","year_category","risk_bracket"
"Customer Support Rep","Retail","Singapore",2024,69.35,70.34,9.03,130236.3,-9.91,-0.66,13.67,59.09,"4",33.422,"Present","High Risk"
"Mechanical Engineer","Manufacturing","UK",2024,57.43,46.32,51.21,57179.49,-10.62,9.74,72.18,38.67,"4",41.521,"Present","Medium Risk"
"Data Analyst","Technology","India",2021,65.57,56.06,34.11,43616.82,8.14,-7.31,83.55,55.52,"2",38.903,"Past","Medium Risk"
"Teacher","Finance","Singapore",2023,47.08,42.21,9.31,137665.89,2.6,12.82,40.51,34.92,"5",22.405,"Present","Medium Risk"
"Truck Driver","Retail","Brazil",2026,75.82,87.86,88.71,123585.07,-6.8,7.32,24.55,89.86,"1",58.981,"Future","High Risk"
"Data Analyst","Retail","Australia",2020,42.45,34.12,10.15,109620.21,18.66,9.74,68.68,22.43,"3",25.623,"Past","Medium Risk"
"Teacher","Healthcare","Japan",2020,59.85,53.56,32.54,119578.97,9.63,9.13,69.19,56.83,"3",36.591,"Past","Medium Risk"
"Financial Analyst","Healthcare","Brazil",2020,16.56,15.68,26.52,59278.76,-0.77,8.41,90.28,63.11,"3",14.811,"Past","Low Risk"
"Financial Analyst","Manufacturing","UK",2022,65.64,65.71,57.69,89102.12,6.26,-3.57,35.27,2.43,"2",45.441,"Past","Medium Risk"
"Financial Analyst","Technology","Australia",2023,55.18,48.06,94.05,144471.43,-2.23,12.14,11.39,92.83,"1",50.956,"Present","Medium Risk"
"Data Analyst","Education","Canada",2021,29.97,35.57,96.36,132361.13,-8.47,-10.15,86.6,31.69,"1",43.437,"Past","Low Risk"
"Customer Support Rep","Finance","India",2025,36.86,37.7,93.62,113523.58,-8.84,6.54,65.35,99.01,"4",45.482,"Future","Medium Risk"
"Data Analyst","Healthcare","UK",2025,9.81,9.88,87.74,118892.23,10.83,15.54,42.35,29.36,"4",33.495,"Future","Low Risk"
"Financial Analyst","Healthcare","Canada",2024,66.66,74.92,86.71,139588.87,5.15,43.53,81.85,65,"5",54.222,"Present","Medium Risk"
"Teacher","Manufacturing","Brazil",2026,59.14,66.13,89,70559.42,-7.73,2.63,62.05,3.59,"2",52.675,"Future","Medium Risk"
"HR Manager","Transportation","Australia",2023,42.59,43.32,28.65,100899.99,-4.72,15.89,21.44,52.22,"5",27.047,"Present","Medium Risk"
"Truck Driver","Finance","Germany",2021,78.9,69.93,62.29,40241.7,0.46,-1.52,58.66,63.74,"1",50.385,"Past","High Risk"
"Mechanical Engineer","Technology","Brazil",2021,60.83,72.4,51.63,68754.78,-6.62,13.52,49.51,7.85,"5",41.807,"Past","Medium Risk"
"Customer Support Rep","Technology","India",2025,26.77,31.73,83.6,113516.9,-12,1.65,24.08,25.02,"1",39.388,"Future","Low Risk"
"Customer Support Rep","Finance","USA",2026,63.45,68.89,66.02,63592.07,21.22,15.32,47.76,24.77,"3",51.552,"Future","Medium Risk"
"Data Analyst","Manufacturing","Canada",2025,24.92,27.49,1.44,43928.72,4.44,12.75,52.68,9.78,"4",11.732,"Future","Low Risk"
"Customer Support Rep","Healthcare","Japan",2021,59.41,58.78,17.32,82062.2,16.32,-9.3,67.16,4.53,"4",33.856,"Past","Medium Risk"
"Teacher","Manufacturing","India",2020,36.22,38.05,50.31,132778.78,-9.82,9.62,16.35,64.24,"4",32.527,"Past","Medium Risk"
"Mechanical Engineer","Transportation","Singapore",2023,11.86,12.26,94.02,99056.9,15.86,-7.38,51.24,54.56,"1",37.708,"Present","Low Risk"
"Data Analyst","Technology","Singapore",2025,65.9,62.9,96.12,138642.08,2.81,-1.23,16.41,31.9,"3",56.039,"Future","Medium Risk"
"Data Analyst","Manufacturing","Germany",2021,59.14,47.86,81.45,63822.57,3.57,-1.93,66.6,87.75,"5",49.162,"Past","Medium Risk"
"Truck Driver","Healthcare","Singapore",2021,76.45,85.74,28.2,51292.75,7.47,11.1,99.15,41.26,"3",41.281,"Past","High Risk"
"Truck Driver","Manufacturing","India",2023,51.04,56.68,34.08,141690.88,-2.18,15.99,77.58,75.45,"5",31.294,"Present","Medium Risk"
"Data Analyst","Technology","Brazil",2026,7.22,8.38,50.53,129174.9,6.82,1.9,45.03,1.08,"1",20.093,"Future","Low Risk"
"Data Analyst","Manufacturing","UK",2023,63.38,53.02,31.93,144007.44,0.97,10.95,66.87,44.84,"4",35.222,"Present","Medium Risk"
"Truck Driver","Manufacturing","Singapore",2020,45.52,42.4,67.25,120284.94,6.24,11.28,18.21,49.44,"2",40.255,"Past","Medium Risk"
"Teacher","Technology","Singapore",2022,14.03,14.31,44.15,136524.5,-8.25,1.79,22.87,76.15,"4",21.332,"Past","Low Risk"
"HR Manager","Transportation","Brazil",2025,53.28,44.78,8.41,114116.3,-4.71,7.32,17.64,98.66,"4",25.248,"Future","Medium Risk"
"Accountant","Manufacturing","Canada",2021,36.2,34.33,81.28,143669.83,-7.18,2.87,79.94,55.84,"1",41.018,"Past","Medium Risk"
"Marketing Specialist","Technology","Australia",2020,39.7,46.15,11.12,89115.01,-0.19,2.11,15.07,11.88,"1",19.273,"Past","Medium Risk"
"Marketing Specialist","Energy","Brazil",2026,18.23,19.31,74.6,100004.25,-1.09,9.02,35.71,86.86,"5",29.999,"Future","Low Risk"
"Accountant","Technology","Brazil",2020,25.65,30.4,1.22,146385.46,2.24,5.13,16.64,55.39,"2",11.298,"Past","Low Risk"
"Data Analyst","Finance","Germany",2023,67.85,68.48,62.94,113489.84,21.53,-2.67,62.59,90.12,"1",52.481,"Present","High Risk"
"Marketing Specialist","Manufacturing","USA",2024,13.18,12.03,95.04,136831.65,21.9,-3.08,34.96,18.81,"1",40.354,"Present","Low Risk"
"Teacher","Education","Canada",2021,42.46,39.97,58.37,39328.16,3.42,23.76,37.86,81.38,"3",35.521,"Past","Medium Risk"
"Customer Support Rep","Retail","Singapore",2021,72.93,63.09,91.09,128704.47,-13.2,23.31,93.95,86.61,"3",60.459,"Past","High Risk"
"Truck Driver","Education","India",2020,28.17,22.83,37.65,127266.4,-17.13,18.54,97.29,84.21,"4",27.702,"Past","Low Risk"
"Marketing Specialist","Finance","India",2024,68.68,67.82,41.48,62808.85,0.05,5.47,79.21,94.48,"2",39.931,"Present","High Risk"
"Financial Analyst","Retail","UK",2022,69.48,62.45,45.05,45499.13,1.2,10.14,30.58,67.17,"1",41.667,"Past","High Risk"
"Customer Support Rep","Education","Canada",2021,68.27,64.4,11.36,110588.78,15.51,6.16,56.81,85.22,"4",35.369,"Past","High Risk"
"Financial Analyst","Retail","Brazil",2020,48.63,49.82,87.67,78417.94,6.45,18.69,73.37,21.3,"5",47.688,"Past","Medium Risk"
"HR Manager","Finance","UK",2022,19.55,15.75,35.06,100790.12,-11.83,-15.39,91.37,34.83,"1",21.887,"Past","Low Risk"
"Data Analyst","Healthcare","Canada",2022,35.98,40.06,39.65,104650.4,-17.03,4.44,51.32,98,"5",31.396,"Past","Medium Risk"
"Customer Support Rep","Education","Germany",2025,59.48,55.41,63.34,58817.47,3.67,-4.4,26.37,34.57,"3",43.895,"Future","Medium Risk"
"Financial Analyst","Energy","Canada",2026,72.78,72.02,66.76,50678.38,-5.3,-2.93,25.93,8.87,"1",50.73,"Future","High Risk"
"Data Analyst","Transportation","Canada",2020,8.44,8.31,20.63,73712.38,19.65,5.35,13.54,79.94,"1",15.46,"Past","Low Risk"
"Mechanical Engineer","Healthcare","Canada",2021,53.95,44.93,87.36,140504.69,-1.12,2.79,82.56,74.83,"4",48.124,"Past","Medium Risk"
"Financial Analyst","Transportation","Brazil",2020,22.92,20.25,37.05,88142.76,-15.15,18.67,51.63,74.75,"1",24.828,"Past","Low Risk"
"Data Analyst","Healthcare","Brazil",2020,5,4.5,71.33,137424.82,30.79,16.2,19.65,44.74,"3",32.636,"Past","Low Risk"
"Marketing Specialist","Healthcare","Singapore",2021,47.28,42.41,26.92,75274.1,-6.47,-5.82,20.78,89.05,"1",28.929,"Past","Medium Risk"
"HR Manager","Education","USA",2022,51.55,55.24,78.92,89813.06,0.77,-3.61,62.82,74.54,"2",44.527,"Past","Medium Risk"
"Customer Support Rep","Finance","Australia",2026,55.22,46.99,28.38,73569.88,9.26,24.09,42.05,98.65,"5",33.38,"Future","Medium Risk"
"Teacher","Healthcare","Germany",2026,52.4,46.9,10.18,48343.1,-6.51,0.13,26.79,28.51,"2",25.967,"Future","Medium Risk"
"Accountant","Transportation","USA",2021,22.14,25.65,8.02,92941.37,2.7,4.5,20.08,39.79,"3",12.072,"Past","Low Risk"
"Teacher","Manufacturing","Canada",2021,77.86,89.25,81.71,60948.34,5.01,-4.78,93.64,55.68,"1",57.16,"Past","High Risk"
"Teacher","Technology","Japan",2021,50.01,45.61,76.95,52445.25,-7.63,-13.05,55.68,24.24,"2",45.378,"Past","Medium Risk"
"Truck Driver","Education","Canada",2026,33.04,34.5,28.86,99748.59,-0.66,-7.11,57.93,5.18,"2",22.072,"Future","Medium Risk"
"Customer Support Rep","Technology","Germany",2023,48.56,41.46,6.34,148795.23,10.06,-0.77,32.92,68.15,"3",24.344,"Present","Medium Risk"
"HR Manager","Finance","Canada",2022,63.22,65.63,47.16,79420.91,5.77,2.97,84.76,96.5,"5",41.167,"Past","Medium Risk"
"Teacher","Education","USA",2020,18.7,20.43,93.83,51747.97,0.87,3.44,61.7,84.18,"3",35.89,"Past","Low Risk"
"Accountant","Retail","USA",2020,19.78,22.12,20.16,49638.71,3.94,0.79,69.87,52.31,"5",15.142,"Past","Low Risk"
"Teacher","Education","Australia",2023,35.12,40.42,39.24,127991.93,-20.38,-5.08,51.64,30.14,"5",31.934,"Present","Medium Risk"
"Financial Analyst","Finance","Singapore",2024,62.33,62.4,23.22,137948.95,8.29,-17.11,91.58,62.42,"2",34.385,"Present","Medium Risk"
"HR Manager","Technology","Singapore",2020,18.18,21.38,62.77,70188.67,3.38,0.85,65.81,53.35,"5",27.117,"Past","Low Risk"
"Financial Analyst","Manufacturing","Australia",2023,72.57,80.95,15.17,67406.65,8.3,-3.56,13.02,56.99,"1",36.069,"Present","High Risk"
"Mechanical Engineer","Education","India",2025,63.37,72.92,34.21,128550.88,-2.7,-4.79,81.76,14.99,"3",36.421,"Future","Medium Risk"
"Financial Analyst","Retail","Singapore",2022,26.05,28.36,72,106937.72,4.13,23.77,32.66,34.57,"4",33.259,"Past","Low Risk"
"HR Manager","Healthcare","Germany",2023,22.71,26.42,58.34,78102.17,6.54,4.44,23.8,58.62,"4",28.548,"Present","Low Risk"
"Accountant","Retail","Singapore",2024,45.41,47.44,1.81,134654.87,1.09,12.26,72.7,92.25,"1",19.034,"Present","Medium Risk"
"HR Manager","Retail","Germany",2023,59.51,51.24,57.63,102805.81,15.93,-0.11,94.09,92.56,"5",45.872,"Present","Medium Risk"
"Marketing Specialist","Education","Japan",2023,41.56,35.13,98.48,130667.77,0.56,15.94,63.21,39.9,"4",46.336,"Present","Medium Risk"
"Customer Support Rep","Energy","UK",2025,28.83,26.93,80.29,30555.84,-10.12,-11.55,58.37,91.99,"1",38.655,"Future","Low Risk"
"HR Manager","Education","India",2026,34.24,32.15,73.75,84266.15,-2.6,-10.03,22.68,17.64,"2",36.601,"Future","Medium Risk"
"HR Manager","Manufacturing","Germany",2021,44.89,43.43,91.48,73487.27,18.49,16.27,11.18,66.35,"1",50.947,"Past","Medium Risk"
"Software Engineer","Manufacturing","Japan",2024,12.46,14.76,14.87,79754.89,25.73,5.59,16.04,75,"1",17.164,"Present","Low Risk"
"Truck Driver","Transportation","Germany",2025,39.69,46.01,20.51,52882.53,-0.33,-0.43,60.84,6.57,"4",22.128,"Future","Medium Risk"
"Truck Driver","Transportation","Germany",2021,79.29,77.81,52.44,82891.53,12.46,-15.73,23.97,18.19,"1",51.186,"Past","High Risk"
"Data Analyst","Transportation","Germany",2021,60.32,71.09,37.33,62489.36,-11.11,22.52,12.28,15.62,"5",38.66,"Past","Medium Risk"
"Truck Driver","Technology","Brazil",2021,75.12,79.89,2.71,56636.66,7.22,-6.29,11.77,10.41,"1",33.027,"Past","High Risk"
"Truck Driver","Healthcare","Japan",2025,80.99,70.58,65.27,58581.93,-2.4,1.25,75,85.57,"5",52.697,"Future","High Risk"
"Financial Analyst","Education","Japan",2024,68.12,65.31,66.81,54598.12,5.93,1.9,11.17,8.55,"5",49.07,"Present","High Risk"
"Teacher","Energy","UK",2025,24.55,19.9,18.14,99964.99,9.24,3.15,83.57,34.18,"4",18.034,"Future","Low Risk"
"Truck Driver","Retail","Germany",2026,43.16,41.08,59.03,62167.64,-12.8,22.55,59.68,43.61,"3",38.813,"Future","Medium Risk"
"Financial Analyst","Energy","Germany",2022,30.61,36.1,76.36,46813.58,-0.38,16.03,90.51,79.99,"4",35.266,"Past","Low Risk"
"Data Analyst","Retail","Germany",2022,29.76,24.08,26.87,94996.11,-13.48,12.43,22.54,83.49,"3",24.009,"Past","Low Risk"
"Mechanical Engineer","Finance","UK",2021,78.91,79.72,17.17,62676.88,1.96,-4.78,34.66,55.42,"2",37.303,"Past","High Risk"
"Teacher","Healthcare","Germany",2020,55.6,62.93,20.64,31319.5,2.56,14.83,64.05,66.5,"4",29.2,"Past","Medium Risk"
"Teacher","Education","Brazil",2023,22.28,25.97,41.88,75976.62,-6.25,5.26,24.97,73.8,"4",23.351,"Present","Low Risk"
"Software Engineer","Manufacturing","Singapore",2023,5.8,6.04,24.53,76715.47,-9.23,-8.52,74.71,29.71,"5",12.448,"Present","Low Risk"
"Software Engineer","Transportation","Japan",2020,39.65,39.27,66.37,142419.57,-8.58,12,12.81,26.23,"3",38.345,"Past","Medium Risk"
"HR Manager","Transportation","Singapore",2024,51.66,42.39,49.64,101621.14,11.49,-2.03,19.59,7.51,"5",39.003,"Present","Medium Risk"
"Marketing Specialist","Manufacturing","Japan",2021,60.97,60.86,68.84,82179.28,7.08,-0.62,81.95,69.47,"3",47.164,"Past","Medium Risk"
"Teacher","Energy","USA",2023,29.05,30.1,36.1,40989.85,-0.74,11.21,26.66,54.19,"3",22.672,"Present","Low Risk"
"Teacher","Healthcare","Japan",2021,71.11,77.71,80.66,109054,8.34,9.59,32.47,48.94,"5",55.144,"Past","High Risk"
"Financial Analyst","Technology","Singapore",2024,25.48,30.46,94.41,34731.22,4.3,7.08,26.25,56.79,"5",39.805,"Present","Low Risk"
"Software Engineer","Finance","Singapore",2021,64.08,52.14,69.74,65681.88,-0.4,11.82,87.58,84.45,"4",46.674,"Past","Medium Risk"
"Accountant","Technology","Canada",2023,32.34,36.59,3.7,101552.39,-4.34,1.91,16.93,69.63,"3",15.348,"Present","Low Risk"
"Customer Support Rep","Energy","Australia",2022,48.79,53.18,6.54,67834.84,14.47,6.97,38.69,62.59,"4",25.819,"Past","Medium Risk"
"HR Manager","Transportation","Canada",2026,72.02,75.36,23.3,32928.09,0.82,15.65,94.52,79.88,"1",36.044,"Future","High Risk"
"Truck Driver","Technology","Brazil",2020,94.86,89.19,76.72,78231.71,22.99,1.37,88.63,98.41,"3",67.857,"Past","High Risk"
"Customer Support Rep","Finance","USA",2026,78.78,76.19,42.14,118509.88,-4.2,2.18,41.92,28.72,"1",45.414,"Future","High Risk"
"Customer Support Rep","Manufacturing","USA",2024,45.74,40.87,4.21,32144.87,-0.35,7.34,44.59,67.96,"2",19.664,"Present","Medium Risk"
"Customer Support Rep","Healthcare","Japan",2025,40.28,47.53,78.63,40729.32,9.84,2.86,95.03,46.74,"1",42.653,"Future","Medium Risk"
"Marketing Specialist","Manufacturing","Japan",2025,52.94,45.89,99.12,57800.6,1.66,9.92,64.7,51.27,"3",51.41,"Future","Medium Risk"
"Mechanical Engineer","Healthcare","India",2026,26.15,22.76,22.05,52372.59,-6.37,16.89,15.21,96.91,"2",18.986,"Future","Low Risk"
"HR Manager","Finance","USA",2022,71.87,84.16,99.49,50867.43,14.21,-0.71,72.64,15.39,"5",62.858,"Past","High Risk"
"Teacher","Transportation","Germany",2020,67.11,59.71,22.38,94436.93,15.48,22.96,18.23,87.75,"5",38.202,"Past","High Risk"
"Customer Support Rep","Finance","Canada",2026,43.59,37.13,88.87,144678.18,2.86,8.34,68.97,55.09,"5",44.955,"Future","Medium Risk"
"Data Analyst","Technology","Australia",2024,6.09,5.87,37.27,61170.45,-0.33,22.95,17.29,22.02,"4",13.716,"Present","Low Risk"
"Mechanical Engineer","Finance","Brazil",2025,57.83,48.02,85.12,89417.58,25.27,-0.31,84.22,34.78,"3",56.249,"Future","Medium Risk"
"Software Engineer","Transportation","Japan",2020,47.46,48.71,26.7,135435.6,5.91,16.09,86.55,86.73,"4",28.767,"Past","Medium Risk"
"Mechanical Engineer","Energy","UK",2023,59.59,67.62,69.75,111616.89,13.82,11.49,24.27,88.09,"2",48.907,"Present","Medium Risk"
"Financial Analyst","Retail","Brazil",2026,71.03,57.65,82.58,45464.38,12.07,-3.17,24.47,81.8,"4",56.807,"Future","High Risk"
"Truck Driver","Transportation","Canada",2022,83.25,83.5,0.64,64444.58,1.91,5.46,66.86,25.98,"2",34.065,"Past","High Risk"
"Data Analyst","Retail","Japan",2021,44.38,45.09,77.98,42837.68,2.49,20.77,96.67,34.19,"4",41.893,"Past","Medium Risk"
"Marketing Specialist","Transportation","Australia",2020,54.28,63.66,10.25,142467.42,-4.46,6.94,37.09,70.82,"4",26.125,"Past","Medium Risk"
"Mechanical Engineer","Healthcare","Japan",2021,14.71,15.2,34.59,104509.86,-5.59,8.77,78.24,2.46,"3",17.938,"Past","Low Risk"
"HR Manager","Education","Canada",2024,11.55,10.73,48.86,122448.89,-5.55,23.81,34.63,99.71,"3",20.943,"Present","Low Risk"
"Financial Analyst","Technology","Brazil",2021,39.83,39.06,16.36,125377.15,-10.21,12.08,17.41,68.05,"1",23.903,"Past","Medium Risk"
"Customer Support Rep","Transportation","Japan",2024,70.82,64.39,95.09,48126.95,6.5,4.01,47.78,63.85,"2",58.805,"Present","High Risk"
"Truck Driver","Energy","Japan",2026,52.83,48.06,98.4,79120.08,-2.41,8.52,29.18,3.11,"1",51.375,"Future","Medium Risk"
"Data Analyst","Retail","Germany",2023,45.62,43.22,86.44,86785.19,3.43,9.57,79.38,84.48,"2",45.209,"Present","Medium Risk"
"HR Manager","Education","Japan",2024,63.27,66.47,13.12,33903.14,1.97,12.09,81.69,48.15,"5",29.835,"Present","Medium Risk"
"Mechanical Engineer","Transportation","Brazil",2022,18.21,15.48,68.56,81636.71,-0.4,-9.31,15.78,58.2,"3",27.972,"Past","Low Risk"
"Truck Driver","Retail","Canada",2022,43.83,49.05,31.04,84626.42,-4.52,-19.24,64,29.17,"2",28.2,"Past","Medium Risk"
"Data Analyst","Manufacturing","Australia",2020,48.65,55.66,77.99,34754.26,-9.67,4.52,31.78,98.67,"5",45.758,"Past","Medium Risk"
"Accountant","Manufacturing","Germany",2025,19.97,19.97,61.82,114295.8,-2.21,5.27,39.38,51.77,"4",27.197,"Future","Low Risk"
"HR Manager","Retail","India",2026,16.15,15.19,3.32,39429.42,-10.02,2.19,61.08,68.95,"2",10.462,"Future","Low Risk"
"HR Manager","Manufacturing","Australia",2021,66.04,58.12,16.75,42548.14,13.99,14.25,12.84,93.62,"3",35.638,"Past","Medium Risk"
"Software Engineer","Healthcare","Canada",2020,5,5.08,70.91,134516.29,8.95,11.35,40.55,81.48,"1",25.958,"Past","Low Risk"
"Financial Analyst","Retail","UK",2025,15.61,18.07,54.76,128075.73,20.75,-1.89,57.38,73.16,"4",28.897,"Future","Low Risk"
"Data Analyst","Technology","Canada",2023,5.71,4.71,24.71,49145.36,-3.2,9.24,97.83,33.69,"4",10.657,"Present","Low Risk"
"Truck Driver","Education","UK",2020,37.75,42.12,65.87,89783.49,17.28,9.36,30.56,99.63,"3",40.045,"Past","Medium Risk"
"Truck Driver","Finance","India",2023,93.24,98.84,19.95,111627.39,-2.57,-11.69,88.14,72.72,"4",44.052,"Present","High Risk"
"Data Analyst","Technology","UK",2021,51.99,50.44,34.59,74524.65,2.24,15.47,49.48,72.53,"5",31.845,"Past","Medium Risk"
"HR Manager","Finance","Germany",2020,44.07,50.65,90.07,80606.51,6.52,-10.76,92.11,21.07,"5",46.605,"Past","Medium Risk"
"Teacher","Manufacturing","Brazil",2023,53.61,56.43,73.31,45788.12,4.94,7.61,26.17,23.75,"4",44.919,"Present","Medium Risk"
"Truck Driver","Retail","Singapore",2022,93,81.13,85.44,89073.34,5.44,1.29,50.08,51.48,"5",64.464,"Past","High Risk"
"Marketing Specialist","Technology","India",2026,35.15,36.45,16.35,76929.78,-12.95,16.61,79.61,13.09,"2",22.85,"Future","Medium Risk"
"Customer Support Rep","Retail","India",2021,92.89,91.17,23.61,38819.61,0.77,-7.83,40.33,82.89,"2",44.47,"Past","High Risk"
"Accountant","Finance","UK",2020,40.16,36.13,61.71,114813.27,-3.49,1.51,13.3,73.64,"4",35.624,"Past","Medium Risk"
"Truck Driver","Energy","Canada",2020,71.47,70.74,84.42,126680.42,10.3,7.39,28.53,11.19,"2",57.004,"Past","High Risk"
"HR Manager","Retail","Japan",2020,28.88,23.77,53.12,142392.68,7.33,4.19,38.45,50.72,"2",29.687,"Past","Low Risk"
"HR Manager","Manufacturing","Singapore",2020,12.91,11.09,98.66,145814.24,9.16,8.46,50.93,51.56,"5",37.51,"Past","Low Risk"
"Customer Support Rep","Healthcare","Canada",2026,59.22,63.17,13.97,33596.83,11.08,-5.4,28.17,67.34,"2",31.203,"Future","Medium Risk"
"Data Analyst","Technology","UK",2026,67.89,56.87,67.26,83250.03,-1.91,7.17,72.34,83.81,"3",47.907,"Future","High Risk"
"Marketing Specialist","Retail","Japan",2020,76.12,81.7,49.72,104141.67,2.01,15.51,12.73,93.09,"4",45.967,"Past","High Risk"
"HR Manager","Transportation","Canada",2024,58.27,62.38,21.57,109066.26,16.33,-6.46,19.59,65.78,"5",34.678,"Present","Medium Risk"
"Truck Driver","Energy","India",2024,94.96,77.8,97.72,78828.96,3.21,9.22,61.03,73.84,"1",68.263,"Present","High Risk"
"Teacher","Education","Canada",2020,71.5,68.75,32.7,110111.21,5.97,12.01,81.8,43.56,"1",40.201,"Past","High Risk"
"Customer Support Rep","Technology","Canada",2024,82.25,69.75,54.45,30691.04,-10.96,-9.4,45.66,69.55,"1",52.523,"Present","High Risk"
"Accountant","Energy","Brazil",2025,37.2,36.44,23.75,74790.21,16.42,15.1,65.75,46.35,"4",26.931,"Future","Medium Risk"
"HR Manager","Healthcare","Singapore",2025,36.59,41.9,51.91,87501.83,-13.9,-11.45,62.22,53.36,"4",34.379,"Future","Medium Risk"
"Data Analyst","Energy","Australia",2023,42.55,47.06,81.3,116174.77,7.59,7.81,31.91,92.7,"3",43.687,"Present","Medium Risk"
"Mechanical Engineer","Finance","UK",2022,14.22,16.69,35.16,42170.5,-16.93,4.02,35.64,30.73,"4",21.315,"Past","Low Risk"
"Truck Driver","Retail","Singapore",2026,81.21,82.48,31.13,103240.05,-9.9,14.41,47.22,12.19,"5",44.793,"Future","High Risk"
"Software Engineer","Energy","India",2022,12.68,13.6,18.14,93019.61,-6.01,8.2,61.06,25.66,"3",12.317,"Past","Low Risk"
"Mechanical Engineer","Finance","Singapore",2026,77.4,76.9,80.6,96027.19,1.25,0.71,95.63,60.16,"5",55.515,"Future","High Risk"
"Software Engineer","Energy","Singapore",2020,57.34,66.16,22.81,55445.38,-14.03,22.5,85.59,90,"2",33.988,"Past","Medium Risk"
"Financial Analyst","Education","Japan",2025,34.74,31.08,78.05,62976.72,-2.95,17.48,70.08,9.55,"4",38.196,"Future","Medium Risk"
"Software Engineer","Manufacturing","Canada",2024,43.67,42.83,58.66,50161.7,6.34,9.14,29.51,9.57,"2",36.968,"Present","Medium Risk"
"HR Manager","Energy","Japan",2020,11.65,12.32,60.71,95603.69,-5.57,-8.7,63.5,49.68,"1",24.544,"Past","Low Risk"
"Marketing Specialist","Manufacturing","UK",2022,79.14,67.64,69.51,78518.25,16.78,-0.54,72.32,99.13,"5",57.543,"Past","High Risk"
"Software Engineer","Transportation","India",2021,8.99,7.56,72.43,99406.43,-3.79,2.96,17.71,89.42,"1",26.462,"Past","Low Risk"
"Truck Driver","Finance","UK",2023,38.43,35.72,22.67,72599.56,0.34,-2.7,16.09,80.04,"3",22.275,"Present","Medium Risk"
"Financial Analyst","Retail","Singapore",2026,26.36,26.78,88.01,108105.28,-19.94,8.74,39.97,66.95,"4",42.929,"Future","Low Risk"
"Truck Driver","Manufacturing","Japan",2024,94.59,100.71,55.78,117678.06,-7.05,4.44,60.61,95.76,"2",56.685,"Present","High Risk"
